direccion|precio_uf|metros_cuadrados|dormitorios|banios|estaciones_de_metro_tmin|estaciones_de_metro_tmax|estaciones_de_metro_tavg|estaciones_de_metro_dmin|estaciones_de_metro_dmax|estaciones_de_metro_davg|paraderos_tmin|paraderos_tmax|paraderos_tavg|paraderos_dmin|paraderos_dmax|paraderos_davg|jardines_infantiles_tmin|jardines_infantiles_tmax|jardines_infantiles_tavg|jardines_infantiles_dmin|jardines_infantiles_dmax|jardines_infantiles_davg|colegios_tmin|colegios_tmax|colegios_tavg|colegios_dmin|colegios_dmax|colegios_davg|universidades_tmin|universidades_tmax|universidades_tavg|universidades_dmin|universidades_dmax|universidades_davg|plazas_tmin|plazas_tmax|plazas_tavg|plazas_dmin|plazas_dmax|plazas_davg|supermercados_tmin|supermercados_tmax|supermercados_tavg|supermercados_dmin|supermercados_dmax|supermercados_davg|farmacias_tmin|farmacias_tmax|farmacias_tavg|farmacias_dmin|farmacias_dmax|farmacias_davg|centros_comerciales_tmin|centros_comerciales_tmax|centros_comerciales_tavg|centros_comerciales_dmin|centros_comerciales_dmax|centros_comerciales_davg|clinicas_tmin|clinicas_tmax|clinicas_tavg|clinicas_dmin|clinicas_dmax|clinicas_davg|hospitales_tmin|hospitales_tmax|hospitales_tavg|hospitales_dmin|hospitales_dmax|hospitales_davg
Ma - Lord Cochrane Esquina Eleuterio Ramírez, Parque Almagro, Santiago, RM (Metropolitana)|2950|0|0|0|7.0|9.0|8.3|550.0|708.0|648.3|0.0|4.0|2.4|26.0|332.0|214.0|4.0|9.0|6.2|303.0|706.0|491.6|3.0|5.0|4.2|229.0|396.0|339.8|2.0|5.0|4.2|124.0|406.0|334.0|5.0|8.0|6.8|413.0|638.0|542.8|6.0|7.0|6.4|454.0|575.0|508.6|4.0|6.0|5.4|328.0|506.0|430.8|8.0|9.0|8.5|600.0|669.0|634.5|3.0|10.0|7.6|208.0|782.0|595.8||||||
Metro La Moneda, Terraza, Centro Histórico de Santiago, Santiago, RM (Metropolitana)|2050|30|1|1|7.0|10.0|8.2|557.0|813.0|656.0|3.0|5.0|4.0|208.0|364.0|283.2|2.0|10.0|8.0|122.0|797.0|618.6|3.0|7.0|5.0|202.0|545.0|391.2|5.0|7.0|6.4|413.0|584.0|525.8|4.0|8.0|5.8|343.0|619.0|471.4|3.0|10.0|6.6|252.0|801.0|511.2|3.0|4.0|3.2|223.0|342.0|264.8|10.0|12.0|11.0|762.0|942.0|854.6|3.0|10.0|6.8|255.0|760.0|536.8||||||
General Bulnes 1 - 300, Santiago, Chile, Barrio Yungay, Santiago, RM (Metropolitana)|3575|81|3|2|6.0|11.0|8.5|472.0|853.0|662.5|4.0|5.0|4.4|296.0|395.0|343.4|4.0|7.0|5.4|336.0|555.0|431.8|2.0|4.0|2.8|182.0|281.0|226.4|11.0|12.0|11.2|833.0|959.0|890.8|6.0|13.0|10.4|505.0|992.0|820.8|4.0|12.0|9.8|313.0|944.0|767.8|4.0|7.0|5.4|297.0|537.0|423.4|||||||8.0|8.0|8.0|590.0|590.0|590.0|12.0|12.0|12.0|934.0|934.0|934.0
Ejercito, Ejército - Toesca, Santiago, RM (Metropolitana)|2110|37|1|1|7.0|10.0|8.5|528.0|770.0|649.0|3.0|4.0|3.2|197.0|310.0|241.5|7.0|9.0|8.0|516.0|734.0|630.6|6.0|11.0|8.8|480.0|867.0|701.0|5.0|7.0|6.0|423.0|561.0|490.6|3.0|8.0|5.6|240.0|659.0|436.2|7.0|12.0|9.0|549.0|917.0|698.0|7.0|10.0|8.8|549.0|783.0|701.0|||||||9.0|11.0|10.0|718.0|831.0|772.3||||||
Club Hípico 1240, Santiago, Chile, Parque O'Higgins, Santiago, RM (Metropolitana)|4019|63|2|2|||||||3.0|7.0|4.8|196.0|563.0|366.2|10.0|13.0|11.2|812.0|993.0|891.8|13.0|13.0|13.0|978.0|978.0|978.0|6.0|10.0|8.2|501.0|801.0|659.0|10.0|11.0|10.5|749.0|877.0|813.0||||||||||||||||||||||||||||||
San Isidro 292, Santiago, Chile, Santa Isabel, Santiago, RM (Metropolitana)|2300|56|2|2|12.0|12.0|12.0|905.0|905.0|905.0|2.0|4.0|3.4|149.0|318.0|254.8|4.0|7.0|5.4|315.0|554.0|431.6|2.0|8.0|4.6|172.0|627.0|370.8|3.0|10.0|7.0|206.0|772.0|541.3|2.0|7.0|4.2|119.0|511.0|314.4|3.0|11.0|8.2|263.0|886.0|655.4|7.0|9.0|8.2|508.0|692.0|623.6|12.0|12.0|12.0|935.0|935.0|935.0|7.0|12.0|9.2|579.0|942.0|724.2|3.0|11.0|7.3|229.0|879.0|566.7
Merced, Barrio Lastarria, Santiago, RM (Metropolitana)|3226|53|1|1|5.0|11.0|7.8|390.0|847.0|603.0|3.0|4.0|3.8|208.0|315.0|284.8|12.0|12.0|12.0|932.0|945.0|938.5|9.0|12.0|10.5|679.0|941.0|812.5|5.0|10.0|7.8|373.0|743.0|587.0|5.0|7.0|6.0|390.0|568.0|480.0|5.0|10.0|8.0|384.0|777.0|621.2|5.0|7.0|5.8|366.0|579.0|459.0|8.0|12.0|10.8|590.0|971.0|840.6|9.0|11.0|10.0|706.0|867.0|775.2|8.0|8.0|8.0|624.0|624.0|624.0
Argomedo Con Vicuña Mackenna, Santa Isabel, Santiago, RM (Metropolitana)|3200|56|2|2|5.0|12.0|9.7|406.0|913.0|739.3|2.0|4.0|3.4|157.0|289.0|245.2|6.0|11.0|8.4|442.0|873.0|654.2|2.0|3.0|2.8|147.0|260.0|215.5|8.0|12.0|10.0|626.0|961.0|793.5|4.0|9.0|6.6|349.0|664.0|527.8|3.0|10.0|5.6|261.0|816.0|444.8|3.0|5.0|4.2|260.0|385.0|325.0|||||||8.0|9.0|8.5|653.0|673.0|663.0|9.0|13.0|11.0|735.0|989.0|862.0
Carmen/ Santa Isabel, Santa Isabel, Santiago, RM (Metropolitana)|2300|35|1|1|13.0|13.0|13.0|987.0|987.0|987.0|4.0|5.0|4.5|279.0|381.0|346.2|3.0|8.0|6.6|256.0|652.0|541.4|5.0|8.0|6.8|422.0|601.0|516.0|3.0|12.0|6.5|220.0|919.0|506.0|3.0|6.0|4.6|255.0|478.0|359.8|5.0|11.0|8.2|356.0|834.0|633.6|9.0|11.0|10.0|675.0|835.0|765.8|||||||6.0|11.0|8.0|480.0|896.0|647.0|9.0|9.0|9.0|703.0|703.0|703.0
Santa Elena, Bogotá - Sierra Bella, Santiago, RM (Metropolitana)|3400|45|3|2|6.0|6.0|6.0|436.0|436.0|436.0|2.0|4.0|2.8|124.0|338.0|217.8|11.0|11.0|11.0|868.0|868.0|868.0|6.0|12.0|9.3|439.0|975.0|733.3|||||||7.0|9.0|8.0|551.0|712.0|620.0|4.0|4.0|4.0|324.0|324.0|324.0|12.0|12.0|12.0|934.0|934.0|934.0||||||||||||||||||
General Mackenna/ Bandera, Centro Histórico de Santiago, Santiago, RM (Metropolitana)|3500|74|2|2|3.0|10.0|6.5|198.0|767.0|482.5|3.0|3.0|3.0|208.0|259.0|226.3|7.0|12.0|9.5|540.0|973.0|756.5|10.0|13.0|11.4|744.0|987.0|866.0|9.0|12.0|10.5|711.0|925.0|815.0|5.0|8.0|6.6|380.0|658.0|505.6|3.0|7.0|5.8|267.0|585.0|468.4|4.0|7.0|5.4|304.0|571.0|428.6|7.0|12.0|9.8|577.0|931.0|752.0|6.0|12.0|9.8|506.0|955.0|776.2||||||
Avenida Santa Isabel 951, Santiago, Chile, San Diego, Santiago, RM (Metropolitana)|2470|75|2|2|4.0|12.0|8.0|328.0|929.0|628.5|3.0|4.0|3.6|220.0|350.0|290.0|7.0|9.0|8.0|525.0|672.0|594.2|7.0|10.0|9.2|550.0|792.0|721.6|7.0|11.0|9.2|516.0|891.0|713.0|2.0|8.0|5.4|144.0|587.0|419.6|4.0|9.0|7.2|321.0|721.0|565.2|2.0|6.0|4.0|156.0|482.0|318.8|9.0|12.0|10.5|706.0|917.0|811.5|6.0|13.0|9.8|461.0|999.0|741.5|11.0|11.0|11.0|827.0|827.0|827.0
Vicuña Mackenna, Bogotá - Sierra Bella, Santiago, RM (Metropolitana)|2200|42|2|1|4.0|4.0|4.0|301.0|301.0|301.0|2.0|3.0|2.5|162.0|270.0|209.2|11.0|11.0|11.0|892.0|892.0|892.0|4.0|12.0|9.0|281.0|943.0|693.6|||||||5.0|11.0|7.3|416.0|838.0|582.3||||||||||||||||||||||||||||||
San Ignacio De Loyola 902, Santiago, Chile, Parque Almagro, Santiago, RM (Metropolitana)|1881|36|2|1|6.0|10.0|8.0|453.0|816.0|634.5|3.0|4.0|3.7|248.0|324.0|290.7|5.0|13.0|9.0|412.0|988.0|690.0|4.0|9.0|6.2|319.0|731.0|492.2|10.0|12.0|11.0|775.0|937.0|861.6|4.0|9.0|6.6|306.0|682.0|501.8|7.0|9.0|8.0|544.0|664.0|612.7|4.0|12.0|9.0|328.0|915.0|704.6|||||||6.0|12.0|9.0|469.0|959.0|714.0||||||
Calle San Ignacio De Loyola, Parque Almagro, Santiago, RM (Metropolitana)|2300|44|2|2|6.0|12.0|8.3|438.0|959.0|658.7|0.0|4.0|2.8|18.0|336.0|212.8|3.0|9.0|6.6|270.0|728.0|516.4|4.0|7.0|5.2|279.0|541.0|401.4|3.0|4.0|3.6|219.0|335.0|281.6|2.0|7.0|4.8|171.0|534.0|372.6|6.0|10.0|8.0|457.0|809.0|633.8|7.0|8.0|7.6|535.0|653.0|610.8|12.0|13.0|12.5|917.0|985.0|951.0|7.0|10.0|8.8|524.0|782.0|692.4||||||
Cienfuegos 1 - 300, Santiago, Chile, Barrio Brasil, Santiago, RM (Metropolitana)|1850|21|1|1|9.0|12.0|10.5|731.0|913.0|819.8|3.0|5.0|4.6|234.0|428.0|369.2|3.0|9.0|7.0|251.0|671.0|551.8|2.0|4.0|3.0|130.0|274.0|224.6|0.0|8.0|4.2|5.0|590.0|330.8|4.0|6.0|5.4|335.0|458.0|418.2|4.0|11.0|9.2|317.0|877.0|721.8|4.0|7.0|5.4|295.0|538.0|431.2|||||||9.0|12.0|10.2|696.0|925.0|806.0||||||
Bogotá - Sierra Bella, Santiago, RM (Metropolitana)|3000|54|3|2|4.0|4.0|4.0|301.0|301.0|301.0|2.0|3.0|2.5|162.0|270.0|209.2|11.0|11.0|11.0|892.0|892.0|892.0|4.0|12.0|9.0|281.0|943.0|693.6|||||||5.0|11.0|7.3|416.0|838.0|582.3||||||||||||||||||||||||||||||
Avenida Santa Isabel 360, Santiago, Chile, Santa Isabel, Santiago, RM (Metropolitana)|3000|54|2|2|9.0|9.0|9.0|684.0|684.0|684.0|2.0|5.0|3.6|178.0|414.0|305.2|4.0|12.0|7.6|308.0|959.0|608.2|2.0|8.0|5.4|174.0|644.0|423.2|3.0|11.0|8.2|221.0|884.0|639.2|2.0|9.0|5.6|139.0|696.0|440.6|4.0|10.0|6.8|318.0|806.0|546.0|3.0|8.0|5.2|223.0|626.0|402.2|||||||3.0|12.0|9.0|244.0|938.0|700.7|10.0|13.0|11.7|752.0|990.0|892.0
San Diego, Santiago, RM (Metropolitana)|3793|46|2|2|2.0|11.0|6.5|169.0|891.0|530.0|2.0|5.0|3.2|135.0|373.0|250.2|3.0|10.0|8.0|197.0|758.0|614.0|8.0|10.0|9.0|587.0|817.0|695.8|5.0|11.0|7.4|420.0|896.0|577.2|3.0|9.0|6.4|225.0|728.0|507.2|4.0|8.0|5.5|317.0|620.0|430.0|3.0|5.0|4.2|257.0|400.0|336.8|6.0|9.0|7.5|493.0|706.0|599.5|4.0|12.0|8.6|350.0|961.0|677.0|12.0|12.0|12.0|927.0|927.0|927.0
Bulnes, Santiago, RM (Metropolitana)|3898|86|2|2|4.0|12.0|9.2|348.0|950.0|730.8|2.0|4.0|3.2|178.0|289.0|240.6|6.0|9.0|7.6|474.0|679.0|580.2|4.0|8.0|6.8|336.0|619.0|526.8|5.0|8.0|6.2|366.0|647.0|488.4|4.0|9.0|6.4|307.0|712.0|513.4|2.0|5.0|3.6|192.0|367.0|279.6|2.0|5.0|3.4|170.0|409.0|255.4|5.0|6.0|5.5|406.0|495.0|450.5|7.0|12.0|9.5|557.0|942.0|732.0|12.0|12.0|12.0|928.0|928.0|928.0
Chacabuco 1355, Parque Los Reyes, Santiago, RM (Metropolitana)|3623|39|2|2|||||||2.0|6.0|4.8|184.0|469.0|386.4|7.0|8.0|7.5|553.0|645.0|599.0|7.0|12.0|9.8|528.0|933.0|752.8|||||||5.0|12.0|8.3|390.0|911.0|653.7|4.0|12.0|8.7|331.0|926.0|668.3|9.0|12.0|10.5|728.0|917.0|822.5||||||||||||||||||
